month,iso3,Flight,Airport,Travel,Train,Bus,Passport,Travel visa,Right of asylum
2023-01-01,AFG,2,1,2,0,1,8,10,0
2023-02-01,AFG,2,1,2,0,1,30,10,0
2023-03-01,AFG,2,1,2,0,1,98,9,0
2023-04-01,AFG,2,1,3,1,1,72,8,0
2023-05-01,AFG,2,1,3,1,1,70,12,0
2023-06-01,AFG,3,1,3,1,1,52,10,0
2023-07-01,AFG,3,1,3,1,1,57,12,0
2023-08-01,AFG,3,2,3,1,1,81,13,0
2023-09-01,AFG,3,1,3,1,1,100,12,0
2023-10-01,AFG,2,1,2,0,0,65,10,0
2023-11-01,AFG,3,1,2,0,0,58,10,0
2023-12-01,AFG,3,1,3,0,1,52,10,0
2024-01-01,AFG,3,1,2,0,0,75,10,0
2024-02-01,AFG,2,1,2,0,0,68,9,0
2024-03-01,AFG,2,1,2,0,0,58,9,0
2024-04-01,AFG,2,1,2,0,0,39,8,0
2024-05-01,AFG,3,1,2,0,0,59,8,0
2024-06-01,AFG,3,1,2,0,1,33,8,0
2024-07-01,AFG,3,1,3,0,1,77,12,0
2024-08-01,AFG,4,2,3,0,1,70,13,0
2024-09-01,AFG,3,1,3,0,1,27,13,0
2024-10-01,AFG,3,1,3,0,1,18,11,0
2024-11-01,AFG,3,1,3,0,1,11,9,0
2024-12-01,AFG,3,1,2,0,1,10,9,0
2025-01-01,AFG,3,1,2,0,1,8,9,0
2025-02-01,AFG,3,1,2,0,1,6,7,0
2025-03-01,AFG,3,1,3,0,1,4,7,0
2025-04-01,AFG,2,1,2,0,0,5,8,0
2025-05-01,AFG,2,1,2,0,1,7,10,0
2025-06-01,AFG,3,2,3,0,1,4,7,0
2025-07-01,AFG,2,1,2,0,1,5,8,0
2025-08-01,AFG,3,2,3,1,1,4,8,0
2025-09-01,AFG,2,1,2,0,1,4,7,0
2025-10-01,AFG,2,1,2,1,0,3,7,0
2025-11-01,AFG,4,2,3,1,1,3,6,0
2025-12-01,AFG,3,1,3,1,1,3,5,0
2026-01-01,AFG,2,1,2,1,1,2,4,0
2026-02-01,AFG,2,1,3,1,1,2,4,0
2026-03-01,AFG,3,2,2,1,1,1,3,0
2026-04-01,AFG,2,1,2,1,1,2,4,0
2017-12-01,AGO,79,40,45,8,15,18,58,0
2018-01-01,AGO,87,38,55,10,15,22,73,0
2018-02-01,AGO,81,40,49,8,14,16,71,0
2018-03-01,AGO,81,42,47,13,14,19,72,0
2018-04-01,AGO,77,43,41,14,12,18,70,0
2018-05-01,AGO,70,36,45,12,11,17,68,0
2018-06-01,AGO,72,34,46,12,12,16,68,3
2018-07-01,AGO,79,44,52,12,15,18,61,3
2018-08-01,AGO,81,41,54,13,14,18,60,0
2018-09-01,AGO,73,37,44,18,14,14,64,0
2018-10-01,AGO,83,36,50,15,14,17,59,0
2018-11-01,AGO,91,40,49,17,16,20,64,0
2018-12-01,AGO,88,43,55,19,18,16,53,0
2019-01-01,AGO,89,49,64,22,20,35,68,0
2019-02-01,AGO,89,48,62,24,22,20,64,0
2019-03-01,AGO,86,45,55,23,19,15,58,2
2019-04-01,AGO,88,38,54,19,19,18,64,2
2019-05-01,AGO,84,45,54,19,16,18,61,2
2019-06-01,AGO,84,47,56,22,21,23,60,2
2019-07-01,AGO,92,52,54,23,21,20,67,2
2019-08-01,AGO,99,39,53,24,23,21,63,3
2019-09-01,AGO,91,47,60,16,22,18,61,2
2019-10-01,AGO,92,42,59,18,20,19,68,3
2019-11-01,AGO,97,44,59,18,20,19,64,3
2019-12-01,AGO,91,47,52,19,19,20,55,2
2020-01-01,AGO,100,45,55,19,16,23,81,3
2020-02-01,AGO,91,41,54,17,20,21,71,0
2020-03-01,AGO,77,38,50,13,14,13,45,1
2020-04-01,AGO,38,19,33,11,12,5,19,1
2020-05-01,AGO,47,18,34,8,13,11,19,2
2020-06-01,AGO,45,25,38,10,11,8,25,0
2020-07-01,AGO,42,18,31,11,10,9,25,0
2020-08-01,AGO,35,20,26,9,12,10,23,0
2020-09-01,AGO,51,22,37,10,9,11,30,2
2020-10-01,AGO,43,21,36,9,11,13,31,2
2020-11-01,AGO,35,18,30,7,8,12,26,2
2020-12-01,AGO,46,19,33,9,10,10,27,1
2021-01-01,AGO,48,19,33,7,10,12,31,0
2021-02-01,AGO,43,16,28,6,12,11,24,0
2021-03-01,AGO,52,19,35,8,11,11,30,2
2021-04-01,AGO,48,23,36,8,11,15,35,0
2021-05-01,AGO,52,23,40,8,10,13,35,2
2021-06-01,AGO,57,23,46,11,12,20,43,2
2021-07-01,AGO,61,27,46,14,13,20,51,2
2021-08-01,AGO,56,28,47,14,11,17,49,1
2021-09-01,AGO,58,22,45,12,14,16,47,2
2021-10-01,AGO,50,24,44,10,11,17,48,0
2021-11-01,AGO,55,22,51,10,10,15,48,3
2021-12-01,AGO,59,26,53,10,12,17,53,2
2022-01-01,AGO,52,23,51,10,14,25,52,2
2022-02-01,AGO,54,25,47,12,12,24,50,2
2022-03-01,AGO,61,25,54,11,11,23,62,2
2022-04-01,AGO,57,24,50,10,13,24,57,2
2022-05-01,AGO,60,24,49,9,12,23,57,0
2022-06-01,AGO,67,35,51,10,12,28,61,1
2022-07-01,AGO,70,29,49,11,11,26,60,1
2022-08-01,AGO,66,27,43,10,12,27,64,0
2022-09-01,AGO,62,33,44,9,14,35,78,2
2022-10-01,AGO,59,23,50,10,10,55,70,1
2022-11-01,AGO,59,23,40,11,14,40,69,1
2022-12-01,AGO,67,25,42,10,11,54,65,2
2023-01-01,AGO,61,26,47,10,12,57,80,2
2023-02-01,AGO,61,22,40,10,14,41,79,3
2023-03-01,AGO,66,24,46,12,14,51,86,2
2023-04-01,AGO,57,25,42,10,12,50,83,2
2023-05-01,AGO,57,25,48,12,13,54,90,2
2023-06-01,AGO,62,28,46,12,13,54,87,2
2023-07-01,AGO,77,57,52,12,15,60,93,2
2023-08-01,AGO,73,62,47,10,14,61,98,1
2023-09-01,AGO,65,32,43,10,13,51,83,2
2023-10-01,AGO,55,31,41,11,12,61,95,1
2023-11-01,AGO,62,66,39,12,13,53,82,2
2023-12-01,AGO,63,30,41,9,12,49,76,1
2024-01-01,AGO,58,26,42,10,12,60,94,0
2024-02-01,AGO,53,24,42,10,12,61,84,0
2024-03-01,AGO,56,24,41,10,12,73,91,0
2024-04-01,AGO,56,25,42,10,14,77,88,0
2024-05-01,AGO,47,24,38,9,18,81,89,0
2024-06-01,AGO,52,25,42,11,14,75,91,1
2024-07-01,AGO,61,28,44,13,13,81,100,0
2024-08-01,AGO,60,31,43,11,14,72,91,0
2024-09-01,AGO,57,27,41,12,15,61,84,0
2024-10-01,AGO,47,25,38,9,13,55,79,0
2024-11-01,AGO,51,31,36,10,13,61,77,0
2024-12-01,AGO,62,31,37,11,14,56,70,0
2025-01-01,AGO,57,27,41,10,13,72,85,0
2025-02-01,AGO,51,27,34,8,10,67,81,0
2025-03-01,AGO,49,26,37,9,12,73,88,0
2025-04-01,AGO,56,26,37,8,12,68,79,0
2025-05-01,AGO,49,25,36,9,14,74,73,0
2025-06-01,AGO,61,29,42,11,19,80,76,0
2025-07-01,AGO,62,30,40,9,18,75,83,0
2025-08-01,AGO,60,24,37,12,15,63,76,0
2025-09-01,AGO,57,27,38,12,18,52,69,0
2025-10-01,AGO,51,33,38,10,13,45,63,0
2025-11-01,AGO,74,38,45,14,19,46,64,1
2025-12-01,AGO,59,35,43,12,16,48,53,0
2026-01-01,AGO,53,27,39,9,14,50,62,0
2026-02-01,AGO,52,27,53,13,16,43,48,0
2026-03-01,AGO,57,30,37,11,17,54,54,0
2026-04-01,AGO,54,37,49,13,18,51,62,0
2017-12-01,ARM,15,47,16,13,22,7,15,0
2018-01-01,ARM,18,43,15,13,20,9,17,0
2018-02-01,ARM,19,38,16,14,19,9,17,0
2018-03-01,ARM,18,45,17,18,23,11,20,0
2018-04-01,ARM,20,47,20,16,22,10,22,0
2018-05-01,ARM,19,49,22,16,24,10,24,0
2018-06-01,ARM,27,56,28,23,28,13,26,0
2018-07-01,ARM,30,72,29,32,33,14,32,0
2018-08-01,ARM,32,75,30,30,45,15,30,0
2018-09-01,ARM,31,62,24,20,29,16,24,0
2018-10-01,ARM,26,55,23,16,26,14,26,0
2018-11-01,ARM,21,49,22,16,23,11,22,0
2018-12-01,ARM,25,54,23,16,26,11,20,0
2019-01-01,ARM,23,55,21,16,25,13,23,0
2019-02-01,ARM,25,45,24,16,23,12,23,0
2019-03-01,ARM,25,47,24,18,24,13,23,0
2019-04-01,ARM,26,56,23,21,28,14,26,0
2019-05-01,ARM,32,57,27,25,32,14,30,0
2019-06-01,ARM,41,76,31,28,38,15,34,0
2019-07-01,ARM,48,98,35,34,38,19,34,0
2019-08-01,ARM,49,99,33,32,41,16,34,0
2019-09-01,ARM,34,71,29,23,32,13,29,0
2019-10-01,ARM,37,66,28,23,33,14,30,0
2019-11-01,ARM,31,59,25,20,27,14,28,0
2019-12-01,ARM,31,59,25,19,28,13,24,0
2020-01-01,ARM,33,58,23,19,24,14,29,0
2020-02-01,ARM,28,55,25,17,25,15,30,0
2020-03-01,ARM,24,46,21,12,17,11,14,0
2020-04-01,ARM,12,21,16,11,12,10,8,0
2020-05-01,ARM,18,28,16,9,17,10,9,0
2020-06-01,ARM,20,29,16,10,14,13,12,0
2020-07-01,ARM,18,33,14,11,16,12,13,0
2020-08-01,ARM,21,39,16,12,18,11,12,0
2020-09-01,ARM,20,44,19,13,19,12,13,0
2020-10-01,ARM,24,73,20,10,16,10,12,1
2020-11-01,ARM,19,31,18,8,14,12,15,0
2020-12-01,ARM,16,39,14,10,15,12,14,0
2021-01-01,ARM,17,39,18,10,16,13,15,0
2021-02-01,ARM,18,45,23,13,18,14,15,0
2021-03-01,ARM,17,40,19,12,19,15,13,0
2021-04-01,ARM,18,41,20,12,18,15,17,0
2021-05-01,ARM,22,46,23,14,21,17,18,0
2021-06-01,ARM,27,52,29,21,24,19,21,0
2021-07-01,ARM,35,67,33,23,28,22,29,0
2021-08-01,ARM,41,73,35,22,26,19,29,0
2021-09-01,ARM,30,62,28,19,23,19,26,0
2021-10-01,ARM,25,56,26,17,21,20,21,0
2021-11-01,ARM,24,44,23,15,20,15,20,0
2021-12-01,ARM,33,51,27,14,21,13,18,0
2022-01-01,ARM,30,47,27,18,19,16,22,0
2022-02-01,ARM,35,50,27,18,23,18,25,0
2022-03-01,ARM,36,60,27,21,27,18,36,0
2022-04-01,ARM,40,54,30,23,33,17,34,0
2022-05-01,ARM,39,54,32,24,31,17,41,0
2022-06-01,ARM,52,61,33,31,37,21,41,0
2022-07-01,ARM,58,70,35,38,39,22,42,0
2022-08-01,ARM,54,67,31,33,39,22,43,0
2022-09-01,ARM,49,64,33,25,35,21,46,1
2022-10-01,ARM,38,56,28,27,34,23,54,1
2022-11-01,ARM,33,47,23,22,29,21,45,0
2022-12-01,ARM,36,54,22,21,26,21,34,0
2023-01-01,ARM,42,52,27,23,28,21,48,1
2023-02-01,ARM,38,47,24,24,26,19,48,0
2023-03-01,ARM,39,47,31,27,31,23,53,0
2023-04-01,ARM,40,56,31,23,39,23,54,1
2023-05-01,ARM,42,59,34,28,39,23,62,0
2023-06-01,ARM,45,71,35,34,47,28,56,1
2023-07-01,ARM,57,84,40,37,55,45,65,0
2023-08-01,ARM,63,93,35,36,58,39,67,0
2023-09-01,ARM,54,73,31,28,50,27,60,0
2023-10-01,ARM,45,63,26,26,44,22,60,1
2023-11-01,ARM,42,54,26,22,34,21,54,0
2023-12-01,ARM,43,60,23,23,31,21,50,0
2024-01-01,ARM,49,58,23,24,30,25,57,0
2024-02-01,ARM,47,55,25,22,32,26,56,0
2024-03-01,ARM,48,57,27,25,34,26,54,0
2024-04-01,ARM,52,61,29,27,37,28,53,0
2024-05-01,ARM,52,68,27,25,38,26,54,0
2024-06-01,ARM,60,70,29,34,40,29,58,0
2024-07-01,ARM,72,91,35,36,43,33,61,0
2024-08-01,ARM,75,91,33,39,50,33,57,0
2024-09-01,ARM,59,78,26,29,42,27,52,0
2024-10-01,ARM,55,69,24,25,39,22,47,0
2024-11-01,ARM,47,55,22,24,39,19,43,0
2024-12-01,ARM,46,64,23,21,36,19,39,0
2025-01-01,ARM,53,60,26,27,40,27,52,0
2025-02-01,ARM,51,54,26,25,36,23,48,0
2025-03-01,ARM,52,59,26,26,35,21,51,0
2025-04-01,ARM,56,62,26,29,35,21,50,0
2025-05-01,ARM,58,70,30,30,37,24,49,0
2025-06-01,ARM,87,86,34,32,43,27,60,0
2025-07-01,ARM,80,94,33,43,48,33,60,0
2025-08-01,ARM,82,94,39,40,50,33,61,0
2025-09-01,ARM,64,77,30,28,41,25,52,0
2025-10-01,ARM,63,77,29,28,39,25,47,0
2025-11-01,ARM,80,80,43,32,47,26,58,0
2025-12-01,ARM,80,81,52,30,41,24,54,0
2026-01-01,ARM,81,89,53,35,37,33,64,0
2026-02-01,ARM,84,72,85,37,51,34,60,0
2026-03-01,ARM,100,97,50,34,40,28,63,0
2026-04-01,ARM,91,86,44,36,45,45,61,0
2017-12-01,AUS,53,41,32,34,28,8,14,0
2018-01-01,AUS,63,42,37,38,30,12,18,0
2018-02-01,AUS,55,40,37,32,29,10,17,0
2018-03-01,AUS,48,41,35,32,28,9,18,0
2018-04-01,AUS,49,39,35,31,25,10,17,0
2018-05-01,AUS,45,39,36,29,24,10,16,0
2018-06-01,AUS,47,39,38,29,24,10,16,0
2018-07-01,AUS,56,42,38,31,28,11,18,0
2018-08-01,AUS,50,40,37,31,26,9,16,1
2018-09-01,AUS,52,39,35,30,25,9,16,0
2018-10-01,AUS,52,37,33,30,25,9,16,0
2018-11-01,AUS,57,39,38,32,24,8,16,1
2018-12-01,AUS,57,43,40,36,28,8,15,0
2019-01-01,AUS,60,40,45,35,30,11,18,0
2019-02-01,AUS,53,40,44,32,28,10,17,1
2019-03-01,AUS,56,38,43,33,28,9,17,0
2019-04-01,AUS,58,40,42,35,23,9,16,0
2019-05-01,AUS,51,35,39,31,21,9,16,1
2019-06-01,AUS,59,40,44,32,22,9,17,1
2019-07-01,AUS,63,42,46,31,26,10,18,0
2019-08-01,AUS,63,40,42,30,24,10,17,0
2019-09-01,AUS,62,40,37,31,26,9,17,1
2019-10-01,AUS,58,39,35,30,24,9,17,0
2019-11-01,AUS,59,39,34,28,24,9,17,0
2019-12-01,AUS,64,41,35,32,25,8,15,0
2020-01-01,AUS,72,43,42,31,27,11,18,0
2020-02-01,AUS,60,36,48,33,28,9,17,0
2020-03-01,AUS,57,28,55,17,16,5,14,0
2020-04-01,AUS,23,11,25,10,7,3,11,0
2020-05-01,AUS,24,11,29,13,10,3,10,0
2020-06-01,AUS,28,12,27,14,13,4,10,0
2020-07-01,AUS,25,12,25,14,13,4,10,0
2020-08-01,AUS,20,10,24,13,12,3,9,0
2020-09-01,AUS,20,10,26,14,12,3,9,0
2020-10-01,AUS,22,10,24,14,12,3,9,0
2020-11-01,AUS,26,13,24,16,14,3,8,0
2020-12-01,AUS,30,16,29,18,16,3,8,0
2021-01-01,AUS,26,14,28,16,16,4,9,0
2021-02-01,AUS,26,14,24,18,17,4,9,0
2021-03-01,AUS,37,18,31,22,16,4,9,0
2021-04-01,AUS,36,19,28,22,16,4,8,0
2021-05-01,AUS,34,19,25,19,17,4,9,0
2021-06-01,AUS,32,17,45,17,14,4,9,0
2021-07-01,AUS,26,13,33,14,11,4,9,0
2021-08-01,AUS,22,11,29,11,10,4,9,0
2021-09-01,AUS,25,11,29,12,10,6,8,0
2021-10-01,AUS,31,11,39,14,12,8,10,0
2021-11-01,AUS,35,16,37,16,14,7,12,0
2021-12-01,AUS,37,21,38,19,15,5,9,0
2022-01-01,AUS,38,21,35,17,13,7,14,0
2022-02-01,AUS,50,24,35,23,17,9,16,0
2022-03-01,AUS,55,30,40,24,18,10,17,0
2022-04-01,AUS,59,34,40,26,18,11,15,0
2022-05-01,AUS,62,32,40,25,18,13,15,0
2022-06-01,AUS,65,35,39,27,19,17,17,0
2022-07-01,AUS,69,37,39,29,19,13,17,0
2022-08-01,AUS,69,36,38,29,19,13,18,0
2022-09-01,AUS,66,35,37,28,19,13,18,0
2022-10-01,AUS,67,34,34,28,18,12,18,0
2022-11-01,AUS,61,37,34,29,19,11,17,0
2022-12-01,AUS,66,34,35,32,19,9,17,0
2023-01-01,AUS,73,38,41,30,21,13,20,0
2023-02-01,AUS,70,36,37,31,22,12,22,0
2023-03-01,AUS,66,38,40,35,25,11,21,0
2023-04-01,AUS,68,39,41,34,24,12,21,0
2023-05-01,AUS,68,39,42,31,23,11,23,0
2023-06-01,AUS,73,39,39,34,31,11,23,0
2023-07-01,AUS,71,41,40,32,23,12,23,0
2023-08-01,AUS,65,38,38,30,23,11,22,0
2023-09-01,AUS,70,38,37,31,22,11,22,0
2023-10-01,AUS,65,37,37,29,21,10,20,0
2023-11-01,AUS,63,37,36,30,22,10,21,0
2023-12-01,AUS,69,42,35,32,21,11,21,0
2024-01-01,AUS,73,40,39,33,22,14,23,0
2024-02-01,AUS,65,36,35,31,22,12,22,0
2024-03-01,AUS,63,35,36,30,22,11,23,0
2024-04-01,AUS,62,39,36,31,21,11,22,0
2024-05-01,AUS,68,37,38,29,20,11,23,0
2024-06-01,AUS,62,37,39,29,21,13,24,0
2024-07-01,AUS,69,37,37,29,20,12,24,0
2024-08-01,AUS,65,38,37,28,20,10,22,0
2024-09-01,AUS,69,39,35,31,21,11,23,0
2024-10-01,AUS,64,37,35,28,21,10,22,0
2024-11-01,AUS,63,36,34,32,20,10,22,0
2024-12-01,AUS,64,39,35,32,20,10,21,0
2025-01-01,AUS,75,42,40,33,21,14,23,0
2025-02-01,AUS,62,36,35,34,23,12,23,0
2025-03-01,AUS,65,40,37,30,20,11,22,0
2025-04-01,AUS,62,37,38,31,21,11,21,0
2025-05-01,AUS,60,36,37,31,21,11,21,0
2025-06-01,AUS,76,40,41,28,20,11,23,0
2025-07-01,AUS,74,38,42,30,21,12,22,0
2025-08-01,AUS,70,36,39,30,21,11,22,0
2025-09-01,AUS,71,38,38,31,20,11,22,0
2025-10-01,AUS,70,37,37,30,21,11,21,0
2025-11-01,AUS,74,41,46,33,22,12,23,0
2025-12-01,AUS,75,40,45,34,23,12,23,0
2026-01-01,AUS,83,43,50,34,23,18,25,0
2026-02-01,AUS,100,37,50,32,24,15,23,0
2026-03-01,AUS,97,45,47,32,25,12,25,0
2026-04-01,AUS,83,40,44,36,25,12,22,0
2017-12-01,AZE,9,18,10,9,24,5,11,0
2018-01-01,AZE,10,20,11,10,24,6,14,0
2018-02-01,AZE,9,19,11,11,22,7,13,0
2018-03-01,AZE,10,21,10,12,27,7,14,0
2018-04-01,AZE,12,23,12,13,27,8,17,0
2018-05-01,AZE,12,25,14,15,27,8,19,0
2018-06-01,AZE,14,28,15,15,33,9,19,0
2018-07-01,AZE,15,38,17,21,45,10,22,0
2018-08-01,AZE,16,36,16,21,44,10,21,0
2018-09-01,AZE,13,30,14,14,35,9,18,0
2018-10-01,AZE,12,31,13,12,32,8,14,0
2018-11-01,AZE,14,27,14,14,30,8,14,0
2018-12-01,AZE,14,27,17,18,31,7,13,0
2019-01-01,AZE,15,28,18,14,32,7,17,1
2019-02-01,AZE,16,26,17,13,31,8,16,0
2019-03-01,AZE,17,29,17,16,33,8,15,0
2019-04-01,AZE,18,30,17,17,30,9,15,0
2019-05-01,AZE,17,30,17,17,35,8,16,0
2019-06-01,AZE,22,39,21,20,47,10,20,0
2019-07-01,AZE,26,42,24,23,51,12,22,0
2019-08-01,AZE,26,40,23,23,49,10,21,0
2019-09-01,AZE,22,35,21,19,42,9,21,0
2019-10-01,AZE,21,30,23,18,37,8,19,0
2019-11-01,AZE,20,30,21,18,37,9,20,0
2019-12-01,AZE,21,29,19,15,36,8,17,0
2020-01-01,AZE,22,31,19,16,34,9,17,0
2020-02-01,AZE,19,29,20,17,32,8,19,0
2020-03-01,AZE,20,30,18,14,27,6,11,0
2020-04-01,AZE,9,10,12,8,20,5,5,0
2020-05-01,AZE,11,11,10,9,24,5,6,0
2020-06-01,AZE,15,14,9,8,20,6,8,0
2020-07-01,AZE,14,15,10,8,26,6,8,0
2020-08-01,AZE,14,15,10,9,37,6,8,0
2020-09-01,AZE,12,14,10,8,28,6,8,0
2020-10-01,AZE,10,12,8,6,23,4,5,0
2020-11-01,AZE,10,10,9,8,26,5,6,0
2020-12-01,AZE,9,11,8,8,21,5,5,0
2021-01-01,AZE,8,11,10,7,22,6,6,0
2021-02-01,AZE,10,12,9,8,33,6,6,0
2021-03-01,AZE,10,13,10,9,28,7,7,0
2021-04-01,AZE,10,13,12,9,28,6,7,0
2021-05-01,AZE,11,15,13,10,34,16,8,0
2021-06-01,AZE,14,22,15,10,38,28,10,0
2021-07-01,AZE,16,28,15,10,41,25,11,0
2021-08-01,AZE,17,26,14,10,31,36,13,0
2021-09-01,AZE,13,22,12,10,30,29,11,0
2021-10-01,AZE,12,19,14,12,31,16,10,0
2021-11-01,AZE,12,17,15,11,27,12,11,0
2021-12-01,AZE,17,18,15,12,26,10,10,0
2022-01-01,AZE,17,21,16,12,30,11,12,0
2022-02-01,AZE,18,17,14,12,28,14,11,0
2022-03-01,AZE,22,22,13,14,32,11,14,0
2022-04-01,AZE,16,17,14,14,32,9,14,0
2022-05-01,AZE,19,20,13,14,39,11,17,0
2022-06-01,AZE,23,26,14,15,44,11,18,0
2022-07-01,AZE,26,31,15,16,47,11,20,0
2022-08-01,AZE,25,29,14,16,43,10,20,0
2022-09-01,AZE,20,26,13,18,38,10,19,0
2022-10-01,AZE,18,23,14,16,37,9,18,0
2022-11-01,AZE,17,20,12,17,31,9,17,0
2022-12-01,AZE,18,21,12,16,32,10,15,0
2023-01-01,AZE,19,22,12,15,31,10,18,0
2023-02-01,AZE,16,20,12,15,33,10,18,0
2023-03-01,AZE,16,24,14,20,33,9,20,0
2023-04-01,AZE,17,26,16,20,35,11,21,0
2023-05-01,AZE,21,27,17,20,34,11,24,0
2023-06-01,AZE,21,34,15,22,38,10,25,0
2023-07-01,AZE,25,37,16,24,42,13,26,0
2023-08-01,AZE,24,38,14,22,37,13,23,0
2023-09-01,AZE,20,32,13,21,38,10,20,0
2023-10-01,AZE,19,28,14,21,33,10,19,0
2023-11-01,AZE,18,29,13,20,32,9,17,0
2023-12-01,AZE,18,28,12,20,30,8,16,0
2024-01-01,AZE,19,26,13,19,30,9,19,0
2024-02-01,AZE,20,25,13,18,30,10,19,0
2024-03-01,AZE,21,29,14,20,31,10,20,0
2024-04-01,AZE,24,33,16,21,35,10,22,0
2024-05-01,AZE,22,35,15,21,37,10,25,0
2024-06-01,AZE,26,40,15,23,42,10,24,0
2024-07-01,AZE,31,45,15,24,49,13,27,0
2024-08-01,AZE,31,45,15,24,47,11,24,0
2024-09-01,AZE,27,40,14,26,51,11,22,0
2024-10-01,AZE,23,34,13,24,46,10,21,0
2024-11-01,AZE,23,39,13,23,49,9,20,0
2024-12-01,AZE,30,34,13,21,45,10,18,0
2025-01-01,AZE,26,33,14,24,40,11,21,0
2025-02-01,AZE,23,33,13,22,44,11,21,0
2025-03-01,AZE,23,31,15,24,40,10,20,0
2025-04-01,AZE,24,32,17,25,46,11,24,0
2025-05-01,AZE,26,36,15,27,53,11,23,0
2025-06-01,AZE,41,44,18,28,50,12,25,0
2025-07-01,AZE,30,43,16,28,53,12,25,0
2025-08-01,AZE,31,41,14,27,56,11,27,0
2025-09-01,AZE,28,37,12,25,63,10,20,0
2025-10-01,AZE,28,33,15,25,53,10,21,0
2025-11-01,AZE,100,55,56,44,69,20,51,0
2025-12-01,AZE,50,40,35,31,51,13,28,0
2026-01-01,AZE,42,41,32,28,43,14,31,0
2026-02-01,AZE,49,42,51,35,54,16,32,0
2026-03-01,AZE,43,41,21,25,48,11,21,0
2026-04-01,AZE,33,35,26,29,53,12,22,0
2017-12-01,BDI,13,14,10,6,0,0,21,0
2018-01-01,BDI,10,12,12,0,7,0,24,0
2018-02-01,BDI,12,12,13,0,6,0,26,0
2018-03-01,BDI,13,14,11,0,6,0,29,0
2018-04-01,BDI,8,12,8,0,0,0,30,0
2018-05-01,BDI,12,12,9,5,0,0,35,0
2018-06-01,BDI,12,8,8,0,0,0,31,0
2018-07-01,BDI,13,11,20,9,0,6,36,0
2018-08-01,BDI,12,13,10,0,8,0,31,0
2018-09-01,BDI,14,15,9,0,8,6,24,0
